date,ECO_Accommodation
1994-01,92.3
1994-02,97
1994-03,111.3
1994-04,117.2
1994-05,138
1994-06,134.7
1994-07,130.8
1994-08,135.6
1994-09,155.6
1994-10,146
1994-11,106.5
1994-12,110.8
1995-01,92.2
1995-02,96.6
1995-03,112.4
1995-04,114.4
1995-05,140.9
1995-06,130.3
1995-07,122.8
1995-08,125.5
1995-09,143.2
1995-10,139
1995-11,105.1
1995-12,108.2
1996-01,88.6
1996-02,94.6
1996-03,109.5
1996-04,112.3
1996-05,132.8
1996-06,127.3
1996-07,118.8
1996-08,125
1996-09,140.7
1996-10,133.5
1996-11,103
1996-12,104.9
1997-01,88.3
1997-02,89.8
1997-03,104.5
1997-04,109.6
1997-05,126.4
1997-06,126.8
1997-07,114.7
1997-08,123.6
1997-09,141.8
1997-10,133.4
1997-11,101.2
1997-12,105.5
1998-01,86.6
1998-02,92.3
1998-03,103.8
1998-04,105.1
1998-05,129.6
1998-06,123.9
1998-07,114.7
1998-08,122.4
1998-09,137.9
1998-10,130.6
1998-11,100.4
1998-12,105.8
1999-01,91.1
1999-02,93.1
1999-03,105.2
1999-04,106.3
1999-05,128
1999-06,122.8
1999-07,116.8
1999-08,122.3
1999-09,140.4
1999-10,132.8
1999-11,107.7
1999-12,109.9
2000-01,92.6
2000-02,99.7
2000-03,108.7
2000-04,112.1
2000-05,140.3
2000-06,135.6
2000-07,130.1
2000-08,134.7
2000-09,154.2
2000-10,140.4
2000-11,110
2000-12,110
2001-01,96.4
2001-02,95.1
2001-03,111.7
2001-04,113.2
2001-05,137.2
2001-06,132
2001-07,130.3
2001-08,132.5
2001-09,143.4
2001-10,135.2
2001-11,108.1
2001-12,105.3
2002-01,91.7
2002-02,92.5
2002-03,104.7
2002-04,111.5
2002-05,123.8
2002-06,124.6
2002-07,121.1
2002-08,124.2
2002-09,136.2
2002-10,123.8
2002-11,98.3
2002-12,94.7
2003-01,82.7
2003-02,84.8
2003-03,97.1
2003-04,97.9
2003-05,118.3
2003-06,114.7
2003-07,109
2003-08,112.4
2003-09,124.6
2003-10,118.5
2003-11,94.5
2003-12,94.6
2004-01,79.1
2004-02,85.8
2004-03,98.2
2004-04,100.7
2004-05,121.2
2004-06,113
2004-07,110.7
2004-08,112.3
2004-09,127.1
2004-10,118.7
2004-11,94.1
2004-12,91.8
2005-01,79.3
2005-02,80.5
2005-03,90.5
2005-04,99.4
2005-05,112.7
2005-06,110.3
2005-07,108.5
2005-08,112.2
2005-09,125.6
2005-10,116
2005-11,90.3
2005-12,94.1
2006-01,79.5
2006-02,82.1
2006-03,93.1
2006-04,97.6
2006-05,118.4
2006-06,115.1
2006-07,115.2
2006-08,111.3
2006-09,129.6
2006-10,118.4
2006-11,89.4
2006-12,98.3
2007-01,80.9
2007-02,82.3
2007-03,97.9
2007-04,101.8
2007-05,115.7
2007-06,113.1
2007-07,112.2
2007-08,114.6
2007-09,124.6
2007-10,120.8
2007-11,94.7
2007-12,98.1
2008-01,81.4
2008-02,86.7
2008-03,91
2008-04,102.3
2008-05,118.6
2008-06,113.3
2008-07,111.2
2008-08,113.2
2008-09,123.5
2008-10,115.1
2008-11,91.3
2008-12,91.3
2009-01,71.5
2009-02,74.3
2009-03,84.5
2009-04,87.9
2009-05,105.7
2009-06,102.4
2009-07,105.4
2009-08,108
2009-09,113.2
2009-10,105.5
2009-11,85
2009-12,87.6
2010-01,69.3
2010-02,73.1
2010-03,83
2010-04,91.1
2010-05,101.7
2010-06,103.7
2010-07,108
2010-08,106.8
2010-09,116.8
2010-10,110.3
2010-11,88.8
2010-12,87.5
2011-01,73.4
2011-02,75.5
2011-03,87
2011-04,92.2
2011-05,110
2011-06,106.8
2011-07,109.4
2011-08,106.3
2011-09,116.9
2011-10,110.4
2011-11,90
2011-12,90.4
2012-01,74.2
2012-02,78.9
2012-03,90.7
2012-04,93.5
2012-05,111.6
2012-06,108.3
2012-07,108.9
2012-08,111.6
2012-09,119.8
2012-10,109.4
2012-11,90.7
2012-12,91
2013-01,74.6
2013-02,76.2
2013-03,87.3
2013-04,94.5
2013-05,102.8
2013-06,105.5
2013-07,109
2013-08,111.7
2013-09,116.7
2013-10,112
2013-11,89.6
2013-12,88.7
2014-01,74.4
2014-02,75.2
2014-03,86.5
2014-04,90.6
2014-05,111.1
2014-06,106.8
2014-07,109.5
2014-08,113.8
2014-09,121.2
2014-10,112.2
2014-11,92.4
2014-12,90.4
2015-01,75.1
2015-02,78
2015-03,88.8
2015-04,91.9
2015-05,108.9
2015-06,112.5
2015-07,112.6
2015-08,115.3
2015-09,119.3
2015-10,113.3
2015-11,92.9
2015-12,91.7
2016-01,76.6
2016-02,80.7
2016-03,91.7
2016-04,99.4
2016-05,108.6
2016-06,111.1
2016-07,115.2
2016-08,114.6
2016-09,125.6
2016-10,114.7
2016-11,93.2
2016-12,92.6
2017-01,78.4
2017-02,79.1
2017-03,96.2
2017-04,97.1
2017-05,116.1
2017-06,111.4
2017-07,115.7
2017-08,112.2
2017-09,124.4
2017-10,114.6
2017-11,94.1
2017-12,96.1
2018-01,80.8
2018-02,81.6
2018-03,94.3
2018-04,102.4
2018-05,109.2
2018-06,115.5
2018-07,116.5
2018-08,116
2018-09,127.1
2018-10,115.9
2018-11,97.3
2018-12,96
2019-01,82.1
2019-02,83.9
2019-03,97.7
2019-04,101.3
2019-05,112.1
2019-06,115.7
2019-07,115.5
2019-08,115.1
2019-09,123.2
2019-10,117
2019-11,100.1
2019-12,96.1
2020-01,80.8
2020-02,84.5
2020-03,48.2
2020-04,11.5
