date,FuelSale_tons_heizoel_leicht_insg,FuelSale_tons_heizoel_leicht_chemWeiterVera,FuelSale_tons_heizoel_leicht_schifffahrt,FuelSale_tons_heizoel_leicht_militaer,FuelSale_tons_heizoel_leicht_sonstige
2018-01,1066412.0,197.0,2959.0,2213.0,1061043.0
2018-02,1444737.0,225.0,2941.0,1484.0,1440087.0
2018-03,1594856.0,420.0,3790.0,1722.0,1588924.0
2018-04,914118.0,351.0,3015.0,1071.0,909681.0
2018-05,781207.0,297.0,2928.0,403.0,777579.0
2018-06,638130.0,196.0,3164.0,240.0,634530.0
2018-07,815483.0,248.0,3153.0,153.0,811929.0
2018-08,976637.0,174.0,170.0,226.0,976067.0
2018-09,1139186.0,113.0,94.0,192.0,1138787.0
2018-10,1407236.0,213.0,34.0,371.0,1406618.0
2018-11,1156047.0,6893.0,197.0,135.0,1148822.0
2018-12,1322158.0,8091.0,43.0,359.0,1313665.0
2019-01,1871626.0,2233.0,3.0,109.0,1869281.0
2019-02,1445591.0,470.0,2.0,1108.0,1444011.0
2019-03,1180643.0,163.0,2.0,215.0,1180263.0
2019-04,991901.0,157.0,17.0,296.0,991431.0
2019-05,991943.0,107.0,33.0,118.0,991685.0
2019-06,1119832.0,158.0,16.0,234.0,1119424.0
2019-07,1356563.0,189.0,9.0,383.0,1355982.0
2019-08,1286065.0,144.0,32.0,195.0,1285694.0
2019-09,1267396.0,81.0,7.0,346.0,1266962.0
2019-10,1246508.0,124.0,14.0,233.0,1246137.0
2019-11,1211449.0,90.0,8.0,180.0,1211171.0
2019-12,1091966.0,788.0,5.0,390.0,1090783.0
2020-01,1282112.0,100.0,49.0,317.0,1281646.0
2020-02,1462257.0,213.0,5.0,128.0,1461911.0
2020-03,1989571.0,132.0,4.0,243.0,1989192.0
2020-04,1868952.0,9131.0,14.0,550.0,1859257.0
