date,M_ShipsGermanFlag,M_ShipsForeignFlag
2011-01,2290912.0,21139202.0
2011-02,2029008.0,17342809.0
2011-03,2207955.0,19158437.0
2011-04,2198525.0,18988716.0
2011-05,2784340.0,20470142.0
2011-06,2361465.0,18509847.0
2011-07,2843781.0,19193338.0
2011-08,2447496.0,19168616.0
2011-09,2219025.0,19818103.0
2011-10,2378348.0,19327886.0
2011-11,2158213.0,19780223.0
2011-12,2157365.0,17493450.0
2012-01,2064136.0,19029663.0
2012-02,2167458.0,19347718.0
2012-03,2521189.0,19774937.0
2012-04,2103593.0,18918948.0
2012-05,1865994.0,20507379.0
2012-06,2101135.0,19610485.0
2012-07,2118400.0,19339098.0
2012-08,2006274.0,19117173.0
2012-09,2158967.0,22122847.0
2012-10,2118057.0,19923245.0
2012-11,2033884.0,18823642.0
2012-12,1933855.0,17334078.0
2013-01,1933183.0,18242958.0
2013-02,1968342.0,17909483.0
2013-03,2015795.0,19518653.0
2013-04,2459118.0,19959818.0
2013-05,2173052.0,19828075.0
2013-06,2058781.0,20092263.0
2013-07,2155899.0,20674266.0
2013-08,2231014.0,19563748.0
2013-09,2108925.0,19559672.0
2013-10,2025364.0,21378908.0
2013-11,2275570.0,19878385.0
2013-12,1912622.0,17992585.0
2014-01,1634562.0,17917862.0
2014-02,2022129.0,19051592.0
2014-03,2104822.0,21296831.0
2014-04,2018081.0,21272947.0
2014-05,2254064.0,20611717.0
2014-06,1993949.0,19773760.0
2014-07,2145516.0,23728105.0
2014-08,2207333.0,23757208.0
2014-09,1983571.0,20468026.0
2014-10,2244701.0,23992752.0
2014-11,2117277.0,19569798.0
2014-12,1756336.0,22393536.0
2015-01,1850768.0,18783105.0
2015-02,1671072.0,21561077.0
2015-03,2209706.0,22046866.0
2015-04,1746713.0,20778846.0
2015-05,2014450.0,20769891.0
2015-06,2084191.0,19864333.0
2015-07,1812108.0,23391868.0
2015-08,1888877.0,21771698.0
2015-09,1800088.0,19136500.0
2015-10,1717471.0,19156950.0
2015-11,1745311.0,21839790.0
2015-12,1691665.0,19016283.0
2016-01,1636921.0,19076176.0
2016-02,1798081.0,19495718.0
2016-03,1913693.0,21316095.0
2016-04,1754993.0,21334171.0
2016-05,1875710.0,20871555.0
2016-06,1786751.0,20269054.0
2016-07,1536243.0,20540869.0
2016-08,1899889.0,19753222.0
2016-09,1663359.0,19949496.0
2016-10,1875953.0,19090587.0
2016-11,1897107.0,19626377.0
2016-12,1575721.0,18973408.0
2017-01,1822757.0,20392681.0
2017-02,1577984.0,18433766.0
2017-03,1853265.0,21334393.0
2017-04,1741212.0,22877481.0
2017-05,1921974.0,20702126.0
2017-06,1621371.0,20170154.0
2017-07,1970437.0,20723283.0
2017-08,1655693.0,20283520.0
2017-09,2223071.0,19326718.0
2017-10,2019870.0,22486746.0
2017-11,1946387.0,18585373.0
2017-12,2302327.0,19322963.0
2018-01,1689043.0,19176569.0
2018-02,1771306.0,19380806.0
2018-03,1937848.0,20722818.0
2018-04,2017765.0,20026892.0
2018-05,1751851.0,20161810.0
2018-06,1422979.0,20447182.0
2018-07,1510803.0,19618998.0
2018-08,1486937.0,23683944.0
2018-09,1520140.0,18922251.0
2018-10,1631689.0,20912574.0
2018-11,1527902.0,20058484.0
2018-12,1482911.0,18700777.0
2019-01,1618522.0,18836925.0
2019-02,1548026.0,19247331.0
2019-03,1471653.0,19808176.0
2019-04,1426174.0,20896072.0
2019-05,1636040.0,21245185.0
2019-06,1681402.0,18888361.0
2019-07,1567504.0,23456540.0
2019-08,1400178.0,18556562.0
2019-09,1423808.0,18885105.0
2019-10,1568056.0,20575302.0
2019-11,1589816.0,18289768.0
2019-12,1376426.0,17345029.0
2020-01,1532718.0,17775012.0
2020-02,1626516.0,16950891.0
