,date,Mio.tonnes_CO2
0,1990,1250.9926089122596
1,1991,1203.9244923599927
2,1992,1153.796499467064
3,1993,1144.8567536196829
4,1994,1125.8351946035616
5,1995,1123.0345859484505
6,1996,1141.0847660726092
7,1997,1106.0005220472206
8,1998,1080.7288228478978
9,1999,1047.0335120204031
10,2000,1045.1874344354012
11,2001,1060.2712856001465
12,2002,1038.9197311779153
13,2003,1035.5741818939734
14,2004,1019.1235003353407
15,2005,993.3436773896057
16,2006,1000.6378611361349
17,2007,973.9417036857049
18,2008,975.6459017421009
19,2009,908.0540232877793
20,2010,942.5418865780931
21,2011,920.3058517248389
22,2012,924.6113961017214
23,2013,942.2500520782763
24,2014,903.1964138007953
25,2015,907.1904822329108
26,2016,911.0490055974734
27,2017,906.6114637674604
28,2018,895.0321080478959
29,2019,888.6896495653999
30,2020,882.3471910829038
31,2021,876.004732600408
32,2022,869.662274117912
33,2023,863.3198156354197
34,2024,856.9773571529238
35,2025,850.6348986704274
36,2026,844.2924401879317
37,2027,837.9499817054357
38,2028,831.6075232229432
39,2029,825.2650647404454
40,2030,818.9226062579487
